 ,English,Français,简体中文,繁體中文,日本語,Русский,Українська,Deutsch,Español,Português (Brasil),한국어
PerkDescription_Longstrider,"Every {0} tiles traveled by a Hero with a {2} or {3} <style=Skill>skill</style>:
{1}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","Toutes les {0} cases parcourues par le Héros avec des <style=Skill>compétences</style> {2} ou {3}<nbsp>:
{1}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","英雄每使用{2}或{3}<style=Skill>技能</style>移动{0}格：
{1}。
<style=""ElfIcon""></style><style=""ElfText"">《琥珀幽森的精灵》DLC</style>","英雄每使用{2}或{3}<style=Skill>技能</style>移動{0}格：
{1}。
<style=""ElfIcon""></style><style=""ElfText"">〈琥珀幽森的精靈〉DLC</style>","{2}または{3}の<style=Skill>スキル</style>を使って英雄が{0}タイル移動するたび:
{1}。
<style=""ElfIcon""></style><style=""ElfText"">アンバーワルドのエルフDLC</style>","За каждые {0} яч., пройденные героем с <style=Skill>навыком</style> ""{2}"" либо ""{3}"":
{1}.
<style=""ElfIcon""></style><style=""ElfText"">Дополнительный контент ""Elves of Amberwald""</style>","Кожні {0} шт. плиток, по яких пройшов герой із <style=Skill>уміннями</style> «{2}» чи «{3}»:
{1}.
<style=""ElfIcon""></style><style=""ElfText"">Доповнення Elves of Amberwald</style>","Alle {0} Felder, die ein Held mit der <style=Skill>Fähigkeit</style> {2} oder {3} zurücklegt:
{1}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","Cada {0} casillas recorridas por un héroe con la <style=Skill>habilidad</style> {2} o {3}:
{1}.
<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","A cada {0} casas percorridas pelo Herói com uma <style=Skill>habilidade</style> de {2} ou {3}:
{1}.
<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","{2} 또는 {3} <style=Skill>스킬</style>로 영웅이 {0}타일 이동할 때마다:
{1}.
<style=""ElfIcon""></style><style=""ElfText"">암버발트의 엘프 DLC</style>"
ResearchDescription_RepelLumberjacksResearch,"All Heroes Gain {1}.
<style=PhysicalDamage>Physical Damage</style> now deals {0} damage to <style=Armor>Armor</style>.","Tous les héros gagnent {1}.
Les <style=PhysicalDamage>dégâts physique</style> font maitenant {0} dégât à l'<style=Armor>Armure</style>.","所有英雄获得{1}。
<style=PhysicalDamage>物理伤害</style>现在对<style=Armor>护甲</style>造成{0}伤害","所有英雄獲得{1}。
<style=PhysicalDamage>物理傷害</style>現在對<style=Armor>護甲</style>造成{0}傷害。","すべての英雄は{1}を獲得する。
<style=PhysicalDamage>物理ダメージ</style>が<style=Armor>アーマー</style>に{0}ダメージを与える。","Все герои получают {1}.
<style=PhysicalDamage>Физический урон</style> наносит {0} урона <style=Armor>броне</style>.","Усі герої отримують {1}.
<style=PhysicalDamage>Фізична шкода</style> тепер завдає {0} шкоди <style=Armor>броні</style>.","Alle Helden erhalten {1}.
<style=PhysicalDamage>Physischer Schaden</style> fügt <style=Armor>Rüstung</style> nun {0} Schaden zu.","Todos los héroes obtienen {1}.
Ahora el <style=PhysicalDamage>daño físico</style> inflige un {0} de daño a la <style=Armor>armadura</style>.","Todos os Heróis recebem {1}.
<style=PhysicalDamage>Dano Físico</style> agora causa {0} de dano à <style=Armor>Armadura</style>.","모든 영웅이 {1}을(를) 획득합니다.
<style=PhysicalDamage>물리 피해</style>가 이제 <style=Armor>장갑</style>에 {0}의 피해를 줍니다."
ResearchDescription_RepelArchersResearch,"All Heroes Gain {1}.
The <style=RangedDamage>Ranged Damage</style> <style=Dodge>Dodge</style> <style=KeyWord>multiplier</style> is reduced by {0}.
<style=Attenuated>In cases where the multiplier becomes less than 1, enemy Dodge is reduced instead of being increased.</style>","Tous les héros gagnent {1}.
Le <style=KeyWord>multiplicateur</style> d'<style=Dodge>Esquive</style> des <style=RangedDamage>Dégâts à distance</style> est réduit de {0}.
<style=Attenuated>Dans les cas où le multiplicateur devient inférieur à 1, l'esquive ennemi est réduite au lieu d'être augmenté.</style>","所有英雄获得{1}。
敌人的<style=RangedDamage>远程伤害</style><style=Dodge>闪避</style><style=KeyWord>倍率</style>降低{0}。
<style=Attenuated>当倍率小于1时，敌人的闪避将下降而非上升。</style>","所有英雄獲得{1}。
<style=RangedDamage>遠程傷害</style><style=Dodge>閃避</style><style=KeyWord>加成係數</style>降低{0}。
<style=Attenuated>加成係數低於1時，敵人閃避不會增加，而會減少。</style>","すべての英雄は{1}を獲得する。
<style=RangedDamage>遠距離ダメージ</style>と<style=Dodge>ドッジ</style>の<style=KeyWord>倍率</style>が{0}減少する。
<style=Attenuated>倍率が1を下回る場合、エネミーのドッジは減少せず、増加する。</style>","Все герои получают {1}.
<style=KeyWord>Множитель</style> <style=Dodge>уклонения</style> цели при стрельбе из <style=RangedDamage>стрелкового оружия</style> уменьшается на {0}.
<style=Attenuated>Если множитель опустился ниже 1, с расстоянием уклонение цели будет только падать.</style>","Усі герої отримують {1}.
<style=KeyWord>Множник</style> <style=Dodge>ухиляння</style> від <style=RangedDamage>стрілецької шкоди</style> зменшено на {0}.
<style=Attenuated>Якщо множник стає меншим за 1, ухиляння ворога зменшується, а не збільшується.</style>","Alle Helden erhalten {1}.
Der <style=RangedDamage>Fernkampfschaden</style>-<style=Dodge>Ausweichmultiplikator</style> wird um {0} reduziert.
<style=Attenuated>Wenn der <style=KeyWord>Multiplikator</style> weniger als 1 beträgt, wird das Ausweichen des Gegners reduziert und nicht erhöht.</style>","Todos los héroes obtienen {1}.
El <style=KeyWord>multiplicador</style> de <style=Dodge>evasión</style> del <style=RangedDamage>daño a distancia</style> se reduce un {0}.
<style=Attenuated>Si el multiplicador es inferior a 1, la evasión del enemigo disminuye en vez de aumentar.</style>","Todos os Heróis recebem {1}.
O <style=KeyWord>multiplicador</style> de <style=Dodge>Esquiva</style> de <style=RangedDamage>Dano à Distância</style> é reduzido em {0}.
<style=Attenuated>Quando o multiplicador se torna inferior a 1, a Esquiva do inimigo é reduzida em vez de aumentar.</style>","모든 영웅이 {1}을(를) 획득합니다.
<style=RangedDamage>사격 피해</style> <style=Dodge>회피</style> <style=KeyWord>배율</style>이 {0}만큼 감소합니다.
<style=Attenuated>배율이 1 미만이 되는 경우 적의 회피가 증가하지 않고 감소합니다.</style>"
PerkDescription_StrongerMagic,"The {0} cost of <style=skill>skills</style> is <style=keyword>reduced</style> by 2 times the Hero's current {1}, up to {2} reduction of the skill's base cost.
<style=Attenuated>On reduction, Mana Cost is rounded up.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Le coût en {0} des <style=skill>compétence</style> est <style=keyword>réduit</style> par 2 fois la {1} actuelle du Héros, jusqu'à {2} de réduction du coût de base.
<style=Attenuated>Lors de la réduction, le coût de Mana est arrondi au supérieur.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","基于英雄当前的{1}的2倍<style=keyword>降低</style>其<style=skill>技能</style>的{0}消耗，最多{2}该技能的基础消耗。
<style=Attenuated>降低时，法力值消耗向上取整。</style>
<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","根據英雄目前的{1}的2倍<style=keyword>降低</style><style=skill>技能</style>的{0}消耗量，最多降低至基礎消耗量的{2}。
<style=Attenuated>法力消耗量降低後無條件進位。</style>
<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","<style=skill>スキル</style>の{0}コストが英雄の現在の{1}の2倍に応じて<style=keyword>減少</style>する。スキルのベースコストの最大{2}まで減少。
<style=Attenuated>減少時のマナコストは切り上げられる。</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","Удвоенное {1} героя <style=keyword>снижает</style> стоимость применения им <style=skill>навыков</style> ({0}) на соответствующую величину, вплоть до {2} к базовой стоимости этого навыка.
<style=Attenuated>Итоговая стоимость округляется в большую сторону.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","Вартість ({0}) <style=skill>навичок</style> <style=keyword>зменшено</style> на подвоєний поточний показник ({1}) героя, до {2} від базової вартості навички.
<style=Attenuated>При зменшенні вартість у мані округлюється вгору.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Die {0}kosten von <style=skill>Fähigkeiten</style> werden um das Doppelte des aktuellen „{1}“-Werts des Helden <style=keyword>reduziert</style>, bis zu {2} Reduzierung der Basiskosten der Fähigkeit.
<style=Attenuated>Bei der Reduzierung werden die Manakosten aufgerundet.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","El {0} del coste de las <style=skill>habilidades</style> se <style=keyword>reduce</style> con el doble de la {1} actual del héroe (reducción máxima: {2} del coste base de la habilidad).
<style=Attenuated>Tras la reducción, el coste de maná se redondea hacia arriba.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","O custo de {0} das <style=skill>habilidades</style> é <style=keyword>reduzido</style> pelo dobro do valor atual da {1} do Herói (até {2} de redução do custo base da habilidade).
<style=Attenuated>O Custo de Mana é arredondado para cima quando é reduzido.</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","<style=skill>스킬</style>의 {0} 비용이 영웅의 현재 {1}의 2배에 따라 <style=keyword>감소</style>, 최대 기술의 기본 비용의 {2} 감소
<style=Attenuated>감소 시 마나 비용이 올림됨</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
PerkDescription_DodgePractice,"Whenever the Hero <style=Dodge>dodges</style>:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>
","Quand le Héros effectue une <style=Dodge>Esquive</style><nbsp>:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>
","当英雄成功<style=Dodge>闪避</style>时：
{0}。
<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","英雄<style=Dodge>閃避</style>時：
{0}。
<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","英雄が攻撃を<style=Dodge>ドッジ</style>した場合:
{0}。
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","Каждый раз, когда герой <style=Dodge>уклоняется</style> от атаки, он получает бонус:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","Коли герой <style=Dodge>ухиляється</style>:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Immer wenn der Held <style=Dodge>ausweicht</style>:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Cuando el héroe <style=Dodge>esquiva</style>:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","Sempre que o Herói se <style=Dodge>esquivar</style>:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","영웅이 <style=Dodge>회피</style>할 때마다:
{0}.
<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
PerkEffectInformations_DodgePractice,,,,,,,,,,,
PerkDescription_BlockPractice,"Every {0} damage <style=Block>blocked</style>:
{1}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Tous les {0} dégâts <style=Block>bloqués</style><nbsp>:
{1} jusqu'à la fin de la <style=Night>nuit</style>.","每<style=Block>格挡</style>{0}点伤害：
{1}。
<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","每<style=Block>格擋</style>{0}傷害：
{1}。
<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","ダメージを{0}<style=Block>ブロック</style>するごとに:
<style=Night>夜</style>終了まで{1}。
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","За каждые {0} ед. <style=Block>заблокированного</style> урона герой получает бонус:
{1}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","Кожна {0} <style=Block>заблокована</style> шкода:
{1}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Pro {0} Schaden, der <style=Block>geblockt</style> wird:
{1}.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Por cada {0} de daño <style=Block>bloqueado</style>:
{1}.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","A cada {0} de dano <style=Block>bloqueado</style>:
{1}.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","피해를 {0} <style=Block>막을</style> 때마다:
{1}
<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
PerkEffectInformations_BlockPractice,Damage left to block: {2},Dégâts restants à bloquer<nbsp>: {2},还需格挡的伤害：{2}点,尚須格擋傷害量：{2},ブロックする残りダメージ: {2} ,Осталось заблокировать урона: {2} ед. ,Шкоди для блоку: {2} ,Noch zu blockender Schaden: {2} ,Daño por bloquear: {2} ,Dano restante a bloquear: {2},막아야 할 잔여 피해: {2}
PerkDescription_SwordUniquePerk,"{2}.
{0} and {1} can be cast in <style=keyword>any</style> direction.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","{2}.
{0} et {1} peuvent être utilisées dans <style=keyword>n'importe</style> quelle direction.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","{2}。
{0}和{1}可以在<style=keyword>任意</style>方向施放。
<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","{2}。
{0}和{1}可以在<style=keyword>任意</style>方向施放。
<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","{2}。
{0}と{1}を<style=keyword>あらゆる</style>方向に発動できる。
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","{2}.
{0} и {1} можно использовать в <style=keyword>любом</style> направлении.
<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","{2}.
{0} та {1} можна використовувати в <style=keyword>будь-якому</style> напрямку.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","{2}.
{0} und {1} können in <style=keyword>jede</style> Richtung gewirkt werden.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","{2}.
{0} y {1} pueden lanzarse en <style=keyword>cualquier</style> dirección.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","{2}.
{0} e {1} podem ser lançados em <style=keyword>qualquer</style> direção.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","{2}.
{0}과 {1}을 <style=keyword>모든</style> 방향으로 시전할 수 있습니다.
<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
PerkDescription_DaggerUniquePerk,"Every {0} <style=Isolated>isolated</style> units <style=keyword>killed</style> or <style=poison>poisoned</style>, the next use of {1} gets: {2} <style=PerkDamage>Perk Damage</style>.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Tous les {0} unités <style=isolated>isolées</style> <style=keyword>tuées</style> ou <style=poison>empoisonées</style>, la prochaine utilisation de {1} obtient<nbsp>:
{2} <style=PerkDamage>Dégâts de Talent</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","每有{0}个<style=Isolated>落单</style>的单位被<style=keyword>击杀</style>或<style=poison>中毒</style>，下次使用{1}时：{2}<style=PerkDamage>天赋伤害</style>。
<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","每<style=keyword>擊殺</style>或<style=poison>毒害</style>{0}個<style=Isolated>落單</style>的單位時，下一次使用的{1}獲得：{2}<style=PerkDamage>天賦傷害</style>。
<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","<style=Isolated>孤立</style>したユニット{0}体を<style=keyword>倒す</style>、または<style=poison>毒</style>を付与した後、次に使用する{1}に以下の効果を付与: {2} <style=PerkDamage>パークダメージ</style>。
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","За каждых {0} <style=keyword>убитых</style> или <style=poison>отравленных</style> <style=Isolated>изолированных</style> существ следующий навык ""{1}"" получит бонус: {2} к <style=PerkDamage>особому урону</style>.
<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","За кож. {0} <style=Isolated>відокремлених</style> ворогів, що були <style=keyword>вбиті</style> чи <style=poison>отруєні</style>, наступне використання навички «{1}» отримує: {2} до <style=PerkDamage>шкоди від риси</style>.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Für alle {0} <style=Isolated>isolierten</style> Einheiten, die <style=keyword>getötet</style> oder <style=poison>vergiftet</style> werden, erhält die nächste Nutzung von {1}: {2} <style=PerkDamage>Vorteilsschaden</style>.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Por cada {0} unidades <style=Isolated>aisladas</style> <style=keyword>eliminadas</style> o <style=poison>envenenadas</style>, el siguiente uso de {1} recibe: {2} de <style=PerkDamage>daño de beneficio</style>.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","A cada {0} unidades <style=Isolated>isoladas</style> <style=keyword>abatidas</style> ou <style=poison>envenenadas</style>, o próximo uso de {1} recebe: {2} de <style=PerkDamage>Dano de Vantagem</style>.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","<style=Isolated>고립</style>된 유닛을 {0}명 <style=keyword>처치</style> 또는 <style=poison>중독</style>시킬 때마다 다음에 사용하는 {1}이(가) 획득: {2} <style=PerkDamage>특전 피해</style>.
<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
PerkName_2HHammerUniquePerk,Grand Smash,Grand fracas,大粉碎,強力粉碎,グランドスマッシュ,Великий удар,Грандіозний удар,Großer Schlag,Gran golpe,Grande Impacto,그랜드 스매시
PerkDescription_2HHammerUniquePerk,"After <style=keyword>stunning</style> {1} enemies with {4}'skills during this turn:
{0} gains {3} {2} until the <style=keyword>end</style> of the turn.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Après avoir <style=keyword>étourdi</style> {1} ennemis avec les compétences de {4} durant ce tour :
{0} obtient {3} {2} jusqu'à la <style=keyword>fin</style> du tour.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","本回合使用{4}的技能<style=keyword>眩晕</style>{1}名敌人后：
{0}获得{3}{2}，持续到回合<style=keyword>结束</style>。
<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","本回合使用{4}的技能<style=keyword>擊暈</style>{1}名敵人後：
{0}獲得{3}{2}，持續到回合<style=keyword>結束</style>。
<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","このターン中に{4}のスキルで{1}体の敵を<style=keyword>スタンさせる</style>と:
{0}はターン<style=keyword>終了</style>まで{3} {2}を得る。
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","После <style=keyword>оглушения</style> {1} врагов навыками {4} в течение этого хода:
{0} получает {3} {2} до <style=keyword>конца</style> хода.
<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","Після <style=keyword>приголомшення</style> {1} ворогів навичками {4} протягом цього ходу:
{0} отримує {3} {2} до <style=keyword>кінця</style> ходу.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Nachdem {1} Gegner mit Fähigkeiten von {4} in diesem Zug <style=keyword>betäubt</style> wurden:
{0} erhält {3} {2} bis zum <style=keyword>Ende</style> des Zuges.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Después de <style=keyword>aturdir</style> a {1} enemigos con habilidades de {4} durante este turno:
{0} obtiene {3} {2} hasta el <style=keyword>final</style> del turno.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","Depois de <style=keyword>atordoar</style> {1} inimigos com habilidades de {4} durante este turno:
{0} recebe {3} de {2} até o <style=keyword>fim</style> do turno.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","이번 턴 동안 {4}의 스킬로 {1}명의 적을 <style=keyword>기절</style>시킨 후:
{0}이(가) 턴 <style=keyword>종료</style>까지 {3} {2} 획득
<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
PerkName_PistolUniquePerk,Headshot,Tir à la tête,爆头,爆頭,ヘッドショット,Выстрел в голову,Постріл у голову,Kopfschuss,Disparo a la cabeza,Tiro na Cabeça,헤드샷
PerkDescription_PistolUniquePerk,"{0} Can be used more often and is stronger. After <style=KeyWord>attacking and killing</style> an enemy unit that was <style=KeyWord>at full {2}</style> with {3}'s {0}:
{1}
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","{0} peut être utilisé plus souvent et est plus puissant. Après avoir <style=KeyWord>attaqué et tué</style> une unité ennemie qui avait <style=KeyWord>toute sa {2}</style> avec {0} de {3}<nbsp>:
{1}
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","{0}使用频率更高，伤害更强。使用{3}的{0}<style=KeyWord>攻击并击杀</style>一名<style=KeyWord>拥有满{2}</style>的敌方单位后：
{1}
<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","{0}使用頻率更高，傷害更強。使用{3}的{0}<style=KeyWord>政擊並擊殺</style><style=KeyWord>{2}全滿</style>的敵方單位時：
{1}
<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","{0}の使用頻度が上がり、威力が増す。{3}の{0}で<style=KeyWord>{2}が満タン</style>のエネミーユニットを<style=KeyWord>攻撃して倒す</style>と:
{1}
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","{0} можно использовать чаще, и он сильнее. <style=KeyWord>Атаковав и убив</style> существо с <style=KeyWord>полным запасом {2}</style> при помощи {0} оружия {3}:
{1}
<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","{0} можна використовувати частіше, і вона сильніша. Після <style=KeyWord>враження й убивства</style> ворога, що мав <style=KeyWord>макс. {2}</style>, навичкою {0} речі {3}:
{1}
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","{0} kann öfter eingesetzt werden und ist stärker. Nachdem eine gegnerische Einheit, die <style=KeyWord>bei voller {2}</style> war, mit {0} von {3} <style=KeyWord>angegriffen und getötet</style> wurde:
{1}
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","{0} se puede usar más a menudo y es más fuerte. Después de <style=KeyWord>atacar y matar</style> a una unidad enemiga que estaba <style=KeyWord>al máximo de {2}</style> con {0} de {3}:
{1}
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","{0} pode ser usado com mais frequência e é mais forte. Após <style=KeyWord>atacar e abater</style> uma unidade inimiga que estava <style=KeyWord>com {2} máxima</style> com {0} de {3}:
{1}
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","{0}을(를) 더 자주 사용할 수 있고 더 강력합니다. {3}의 {0}로 <style=KeyWord>최대 {2}</style>인 적 유닛을 <style=KeyWord>공격 및 처치</style>한 후:
{1}
<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
PerkDescription_RifleUniquePerk,"Once per turn, whenever an enemy is <style=KeyWord>killed</style> by {0}'s <style=Skill>skills</style>, apply:
{1}
{2}
to <style=KeyWord>enemies within 3 tiles.</style> 
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Une fois par tour, quand un ennemi est <style=keyword>tué</style> par une <style=skill>compétence</style> de {0}, applique<nbsp>:
{1}
{2}
à des <style=keyword>ennemis dans un rayon de 3 cases</style>.","一回合一次，当{0}的<style=Skill>技能</style><style=KeyWord>击杀</style>敌人时：
对<style=KeyWord>3格内的敌人</style>施加
{1}
{2}。
<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","每回合一次，有敵人被{0}的<style=Skill>技能</style><style=KeyWord>擊殺</style>時，施加：
使<style=KeyWord>3格內的敵人</style>
{1}
{2}。
<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","1ターンに1度、{0}の<style=Skill>スキル</style>でエネミーを<style=KeyWord>倒す</style>と、以下を適用:
{1}
{2}
<style=KeyWord>3タイル以内のエネミー</style>へ。
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","Раз за ход, если герой <style=KeyWord>убивает</style> врага <style=Skill>навыком</style> {0}, <style=KeyWord>противники в радиусе 3 клеток</style> получают штраф:
{1};
{2}.
<style=""WaltyIcon""></style> <style""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","Раз на хід, після <style=KeyWord>убивства</style> ворога <style=Skill>навичками</style> речі {0}, застосуйте:
{1}
{2}
 до <style=KeyWord>ворогів у радіусі 3 клітинок</style>.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Einmal pro Runde, wenn ein Gegner durch <style=Skill>Fähigkeiten</style> von {0} <style=KeyWord>getötet</style> wird, wird Folgendes angewandt:
{1}
{2}
auf <style=KeyWord>Gegner innerhalb von 3 Feldern</style>.
<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Una vez por turno, cuando el enemigo <style=KeyWord>muere</style> debido a una de las <style=Skill>habilidades</style> de {0}, aplica:
{1}
{2}
a <style=KeyWord>enemigos a 3 casillas de distancia</style>.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","Uma vez por turno, sempre que um inimigo é <style=KeyWord>abatido</style> por <style=Skill>habilidades</style> de {0}, aplica:
{1}
{2}
a <style=KeyWord>inimigos a até 3 casas de distância</style>.
<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","턴당 한 번씩 {0}의 <style=Skill>스킬</style>로 적이 <style=KeyWord>처치</style>될 때마다 적용:
{1}
{2}
<style=KeyWord>(3타일 이내의 적들에게)</style>
<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
